seq_index,filename,ndtiff_file,column,row,z,x_px,y_px
306,0306.tif,new_NDTiffStack.tif,14,12,0,25804.800,22118.400
307,0307.tif,new_NDTiffStack.tif,14,13,0,25804.800,23961.600
308,0308.tif,new_NDTiffStack.tif,14,14,0,25804.800,25804.800
309,0309.tif,new_NDTiffStack.tif,14,15,0,25804.800,27648.000
310,0310.tif,new_NDTiffStack.tif,14,16,0,25804.800,29491.200
311,0311.tif,new_NDTiffStack.tif,14,17,0,25804.800,31334.400
312,0312.tif,new_NDTiffStack.tif,14,18,0,25804.800,33177.600
313,0313.tif,new_NDTiffStack.tif,14,19,0,25804.800,35020.800
314,0314.tif,new_NDTiffStack.tif,14,20,0,25804.800,36864.000
315,0315.tif,new_NDTiffStack.tif,15,20,0,27648.000,36864.000
316,0316.tif,new_NDTiffStack.tif,15,19,0,27648.000,35020.800
317,0317.tif,new_NDTiffStack.tif,15,18,0,27648.000,33177.600
318,0318.tif,new_NDTiffStack.tif,15,17,0,27648.000,31334.400
319,0319.tif,new_NDTiffStack.tif,15,16,0,27648.000,29491.200
320,0320.tif,new_NDTiffStack.tif,15,15,0,27648.000,27648.000
321,0321.tif,new_NDTiffStack.tif,15,14,0,27648.000,25804.800
322,0322.tif,new_NDTiffStack.tif,15,13,0,27648.000,23961.600
323,0323.tif,new_NDTiffStack.tif,15,12,0,27648.000,22118.400
324,0324.tif,new_NDTiffStack.tif,15,11,0,27648.000,20275.200
325,0325.tif,new_NDTiffStack.tif,15,10,0,27648.000,18432.000
326,0326.tif,new_NDTiffStack.tif,15,9,0,27648.000,16588.800
327,0327.tif,new_NDTiffStack.tif,15,8,0,27648.000,14745.600
328,0328.tif,new_NDTiffStack.tif,15,7,0,27648.000,12902.400
329,0329.tif,new_NDTiffStack.tif,15,6,0,27648.000,11059.200
330,0330.tif,new_NDTiffStack.tif,15,5,0,27648.000,9216.000
331,0331.tif,new_NDTiffStack.tif,15,4,0,27648.000,7372.800
